ID_Seller;Flujo_Caja
10052915; 2.006.053 
10331569; 2.005.283 
10128953; 2.003.545 
10163763; 2.001.668 
10253652; 1.999.717 
10309451; 1.999.705 
10079588; 1.999.609 
10189414; 1.998.628 
10389982; 1.997.259 
10302141; 1.996.088 
10381044; 1.994.930 
73233; 1.994.138 
69222; 1.992.634 
10108391; 1.991.916 
10284610; 1.990.690 
29722; 1.989.582 
10340658; 1.989.556 
10216919; 1.983.199 
10385684; 1.981.682 
10371176; 1.981.417 
10373908; 1.981.076 
10214626; 1.979.455 
10300465; 1.979.362 
10334465; 1.976.871 
10347593; 1.974.882 
10349844; 1.973.654 
10250629; 1.969.562 
10356393; 1.969.148 
10397461; 1.968.526 
10286385; 1.966.598 
10056619; 1.965.774 
10302299; 1.964.795 
10209045; 1.964.163 
10116794; 1.961.760 
10081204; 1.960.799 
10308201; 1.960.427 
10358656; 1.957.191 
10313610; 1.956.725 
10309760; 1.956.238 
10297416; 1.955.455 
10152921; 1.955.274 
105768; 1.954.736 
10181621; 1.954.602 
10160864; 1.954.219 
10304284; 1.953.917 
10129378; 1.952.904 
10085843; 1.952.485 
10352344; 1.952.345 
10017447; 1.951.425 
10081370; 1.951.415 
10006004; 1.948.924 
10445943; 1.947.764 
10363703; 1.947.511 
10373208; 1.946.912 
10322116; 1.945.615 
10251474; 1.944.440 
10354735; 1.944.025 
10141403; 1.942.600 
10427359; 1.937.334 
10298236; 1.935.549 
10344027; 1.934.658 
10077472; 1.934.289 
10361777; 1.934.008 
10366026; 1.933.823 
10157322; 1.933.439 
10334818; 1.932.400 
10359862; 1.931.431 
10324949; 1.930.698 
10297363; 1.929.181 
10247219; 1.929.109 
10088705; 1.928.378 
10367388; 1.927.836 
10377247; 1.927.475 
10248021; 1.927.471 
10154976; 1.927.118 
143972; 1.926.552 
10340768; 1.926.246 
10275163; 1.926.070 
10293274; 1.924.767 
10201363; 1.924.041 
10254957; 1.923.916 
25056; 1.919.980 
10436553; 1.917.421 
10091277; 1.916.003 
10370375; 1.913.013 
10377272; 1.912.672 
10036646; 1.911.273 
10362374; 1.910.786 
10329186; 1.909.279 
10346781; 1.907.821 
10338196; 1.905.093 
10361759; 1.904.739 
10308825; 1.904.052 
10218156; 1.902.210 
10385755; 1.902.029 
10355399; 1.899.979 
10301184; 1.899.136 
10227511; 1.896.008 
10383736; 1.895.705 
10255895; 1.894.043 
10234329; 1.892.079 
10355303; 1.890.301 
10358577; 1.888.532 
10240293; 1.888.208 
10313708; 1.886.790 
10314327; 1.886.413 
10134403; 1.885.183 
10385167; 1.878.307 
10181645; 1.876.864 
10305733; 1.875.505 
10223346; 1.875.192 
10156822; 1.871.313 
10063015; 1.865.301 
10072541; 1.864.890 
10044007; 1.863.933 
10291715; 1.863.760 
10115470; 1.863.724 
10302749; 1.862.449 
10354174; 1.862.317 
10362953; 1.858.995 
10318373; 1.858.546 
10190941; 1.856.987 
10224058; 1.856.517 
10160068; 1.853.534 
10016492; 1.853.081 
10180461; 1.846.082 
10009988; 1.846.003 
10178338; 1.845.770 
10366962; 1.843.610 
10298478; 1.841.931 
